sample,run_type,purity,ploidy,dipLogR,facets_version,cval,snp_nbhd,min_nhet,ndepth,genome,seed,flags,input_file,genome_doubled,fraction_cna,hypoploid,fraction_loh,lst,ntai,hrd_loh
X1471,purity,0.93,1.7,0.22,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; likely mixture of 1+0 & 2+0 in segclust: 40, 42, 43, 47, 50, 51, 52, 53,X1471_ordered.csv.gz,FALSE,0.95,FALSE,0,27,24,15
X1471,hisens,0.91,1.7,0.22,0.6.2,25,250,15,35,hg38,100,,X1471_ordered.csv.gz,FALSE,0.99,FALSE,0,16,20,9
X1499,purity,0.66,1.8,0.098,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 16, 19, 22,X1499_ordered.csv.gz,FALSE,0.74,FALSE,0.095,18,12,15
X1499,hisens,NA,2,0.098,0.6.2,25,250,15,35,hg38,100,,X1499_ordered.csv.gz,FALSE,0.97,FALSE,0,15,10,9
X1530,purity,0.78,4.2,-0.91,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if -0.0260095043198538 is diploid level; not consistent for 1 copy loss from diploid in segclust: 8, 28, 31, 33, 34, 37, 39, 40, 42, 44, 45, 47, 49, 50, 52, 53, 55, 56, 58, 59,X1530_ordered.csv.gz,FALSE,1,FALSE,0,13,20,5
X1530,hisens,NA,2,-0.91,0.6.2,25,250,15,35,hg38,100,,X1530_ordered.csv.gz,FALSE,1,FALSE,0,6,7,1
X1548,purity,0.84,1.6,0.24,0.6.2,50,250,15,35,hg38,100,NA,X1548_ordered.csv.gz,FALSE,0.69,FALSE,0.088,15,7,15
X1548,hisens,NA,2,0.24,0.6.2,25,250,15,35,hg38,100,NA,X1548_ordered.csv.gz,FALSE,0.95,FALSE,0.14,13,10,8
X1552,purity,0.68,3.1,-0.46,0.6.2,50,250,15,35,hg38,100,NA,X1552_ordered.csv.gz,FALSE,0.95,FALSE,0,28,21,9
X1552,hisens,0.68,3.1,-0.46,0.6.2,25,250,15,35,hg38,100,NA,X1552_ordered.csv.gz,FALSE,0.99,FALSE,0,16,20,3
X1568,purity,0.61,3,-0.38,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 11,X1568_ordered.csv.gz,FALSE,0.94,FALSE,0,21,21,11
X1568,hisens,0.62,3,-0.38,0.6.2,25,250,15,35,hg38,100,,X1568_ordered.csv.gz,FALSE,0.98,FALSE,0,12,18,5
X1580,purity,0.79,2.9,-0.45,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; likely mixture of 1+0 & 2+0 in segclust: 14,X1580_ordered.csv.gz,FALSE,0.95,FALSE,0,19,19,4
X1580,hisens,NA,2,-0.45,0.6.2,25,250,15,35,hg38,100,,X1580_ordered.csv.gz,FALSE,1,FALSE,0,10,10,0
X1582,purity,0.82,2,0.027,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 24, 28,X1582_ordered.csv.gz,FALSE,0.71,FALSE,0,29,20,14
X1582,hisens,NA,2,0.027,0.6.2,25,250,15,35,hg38,100,,X1582_ordered.csv.gz,FALSE,0.96,FALSE,0,16,14,6
X1593,purity,0.43,3.6,-0.43,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome,X1593_ordered.csv.gz,TRUE,0.97,FALSE,0,22,21,17
X1593,hisens,0.45,3.5,-0.43,0.6.2,25,250,15,35,hg38,100,,X1593_ordered.csv.gz,FALSE,1,FALSE,0,16,14,2
X1605,purity,0.58,3.4,-0.48,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 9,X1605_ordered.csv.gz,FALSE,0.92,FALSE,0,19,19,5
X1605,hisens,NA,2,-0.48,0.6.2,25,250,15,35,hg38,100,,X1605_ordered.csv.gz,FALSE,0.99,FALSE,0,12,12,0
X1634,purity,0.31,1.7,0.065,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 13,X1634_ordered.csv.gz,FALSE,0.62,FALSE,0.087,15,18,21
X1634,hisens,NA,2,0.065,0.6.2,25,250,15,35,hg38,100,,X1634_ordered.csv.gz,FALSE,0.84,FALSE,0,17,16,12
X1652,purity,0.3,2.9,-0.18,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small,X1652_ordered.csv.gz,FALSE,0.98,FALSE,0,23,21,14
X1652,hisens,NA,2,-0.18,0.6.2,25,250,15,35,hg38,100,,X1652_ordered.csv.gz,FALSE,1,FALSE,0,16,14,2
X1677,purity,0.29,2,-0.0064,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 9,X1677_ordered.csv.gz,FALSE,0.72,FALSE,0.024,26,14,14
X1677,hisens,NA,2,-0.0064,0.6.2,25,250,15,35,hg38,100,,X1677_ordered.csv.gz,FALSE,0.94,FALSE,0,17,12,6
X1689,purity,0.53,3.3,-0.42,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 14, 15,X1689_ordered.csv.gz,FALSE,0.99,FALSE,0,30,19,7
X1689,hisens,NA,2,-0.42,0.6.2,25,250,15,35,hg38,100,,X1689_ordered.csv.gz,FALSE,1,FALSE,0,7,13,1
X1718,purity,0.29,2.5,-0.094,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 3, 5, 8,X1718_ordered.csv.gz,FALSE,0.79,FALSE,0,33,16,10
X1718,hisens,0.3,2.4,-0.094,0.6.2,25,250,15,35,hg38,100,,X1718_ordered.csv.gz,FALSE,0.87,FALSE,0,17,14,5
X1751,purity,0.46,3,-0.3,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 9, 11,X1751_ordered.csv.gz,FALSE,0.96,FALSE,0,26,19,6
X1751,hisens,0.43,3.1,-0.3,0.6.2,25,250,15,35,hg38,100,,X1751_ordered.csv.gz,FALSE,1,FALSE,0,8,8,0
X1851,purity,0.79,3.1,-0.53,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; possibly subclonal 2+2 states present; mafR larger than expected if 0.3253124091134 is diploid level; not consistent for 1 copy loss from diploid in segclust: 9, 12, 32, 34, 38, 41, 46, 48, 53, 55, 59, 60,X1851_ordered.csv.gz,FALSE,1,FALSE,0,33,20,9
X1851,hisens,NA,2,-0.53,0.6.2,25,250,15,35,hg38,100,,X1851_ordered.csv.gz,FALSE,1,FALSE,0,8,10,1
X1922,purity,0.67,3.3,-0.54,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.294266999351639 is diploid level; not consistent for 1 copy loss from diploid in segclust: 22, 28, 32, 33, 34, 35, 37, 38, 41, 43, 44, 46, 49, 50, 51, 53, 54,X1922_ordered.csv.gz,FALSE,0.96,FALSE,0,26,18,4
X1922,hisens,0.67,3.3,-0.54,0.6.2,25,250,15,35,hg38,100,,X1922_ordered.csv.gz,FALSE,1,FALSE,0,20,11,1
X1928,purity,0.74,1.9,0.066,0.6.2,50,250,15,35,hg38,100,NA,X1928_ordered.csv.gz,FALSE,0.72,FALSE,0.052,26,18,12
X1928,hisens,NA,2,0.066,0.6.2,25,250,15,35,hg38,100,NA,X1928_ordered.csv.gz,FALSE,0.95,FALSE,0,17,13,6
X1979,purity,0.69,3.8,-0.71,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.104755025954674 is diploid level; not consistent for 1 copy loss from diploid in segclust: 15, 22, 24, 25, 26, 29, 33, 34, 35, 37, 39, 42, 43, 45, 46,X1979_ordered.csv.gz,FALSE,0.98,FALSE,0,14,17,1
X1979,hisens,NA,2,-0.71,0.6.2,25,250,15,35,hg38,100,,X1979_ordered.csv.gz,FALSE,1,FALSE,0,10,5,0
X2090,purity,0.76,2.1,-0.048,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome,X2090_ordered.csv.gz,FALSE,0.69,FALSE,0,22,11,6
X2090,hisens,0.76,2.1,-0.048,0.6.2,25,250,15,35,hg38,100,,X2090_ordered.csv.gz,FALSE,0.94,FALSE,0,17,12,6
X2120,purity,0.85,3.7,-0.8,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 9, 10, 13,X2120_ordered.csv.gz,TRUE,0.76,FALSE,0,21,14,2
X2120,hisens,0.86,3.7,-0.8,0.6.2,25,250,15,35,hg38,100,,X2120_ordered.csv.gz,FALSE,0.99,FALSE,0,7,7,0
X2152,purity,0.6,3.1,-0.41,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; likely mixture of 1+0 & 2+0 in segclust: 17,X2152_ordered.csv.gz,FALSE,0.99,FALSE,0,25,19,6
X2152,hisens,0.62,3.1,-0.41,0.6.2,25,250,15,35,hg38,100,,X2152_ordered.csv.gz,FALSE,1,FALSE,0,11,11,0
X2176,purity,0.32,1.8,0.054,0.6.2,50,250,15,35,hg38,100,NA,X2176_ordered.csv.gz,FALSE,0.76,FALSE,0.014,18,21,26
X2176,hisens,NA,2,0.054,0.6.2,25,250,15,35,hg38,100,NA,X2176_ordered.csv.gz,FALSE,0.95,FALSE,0,11,19,17
X2212,purity,0.86,2.4,-0.21,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.679939513913171 is diploid level; not consistent for 1 copy loss from diploid in segclust: 12, 13, 15, 17, 18, 19, 21, 24, 27, 29, 39, 58, 61, 64, 68, 70, 73, 74, 76, 77, 79, 80, 82,X2212_ordered.csv.gz,FALSE,0.99,FALSE,0,21,25,8
X2212,hisens,NA,2,-0.21,0.6.2,25,250,15,35,hg38,100,,X2212_ordered.csv.gz,FALSE,1,FALSE,0,10,10,2
X2316,purity,0.4,1.7,0.087,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 16, 19, 20,X2316_ordered.csv.gz,FALSE,0.85,FALSE,0.11,28,20,21
X2316,hisens,NA,2,0.087,0.6.2,25,250,15,35,hg38,100,,X2316_ordered.csv.gz,FALSE,0.97,FALSE,0,14,10,13
X2354,purity,0.39,3.1,-0.29,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 8,X2354_ordered.csv.gz,FALSE,0.95,FALSE,0,24,19,7
X2354,hisens,NA,2,-0.29,0.6.2,25,250,15,35,hg38,100,,X2354_ordered.csv.gz,FALSE,0.99,FALSE,0,10,12,2
X2357,purity,0.51,2.8,-0.28,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome,X2357_ordered.csv.gz,FALSE,0.96,FALSE,0,14,21,6
X2357,hisens,0.54,2.8,-0.28,0.6.2,25,250,15,35,hg38,100,,X2357_ordered.csv.gz,FALSE,0.99,FALSE,0,15,13,3
X2360,purity,0.9,1.7,0.18,0.6.2,50,250,15,35,hg38,100,NA,X2360_ordered.csv.gz,FALSE,0.73,FALSE,0.093,21,24,18
X2360,hisens,0.91,1.7,0.18,0.6.2,25,250,15,35,hg38,100,NA,X2360_ordered.csv.gz,FALSE,0.95,FALSE,0,13,17,13
X2362,purity,0.85,3.3,-0.62,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 15, 20,X2362_ordered.csv.gz,FALSE,0.99,FALSE,0,29,23,4
X2362,hisens,0.87,3.2,-0.62,0.6.2,25,250,15,35,hg38,100,,X2362_ordered.csv.gz,FALSE,0.99,FALSE,0,6,16,0
X2374,purity,0.35,2.9,-0.21,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; likely mixture of 1+0 & 2+0 in segclust: 8, 11, 12,X2374_ordered.csv.gz,FALSE,0.99,FALSE,0,19,18,10
X2374,hisens,NA,2,-0.21,0.6.2,25,250,15,35,hg38,100,,X2374_ordered.csv.gz,FALSE,1,FALSE,0,12,14,1
X23,purity,0.69,3.6,-0.63,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR larger than expected if 0.263645115898144 is diploid level; not consistent for 1 copy loss from diploid in segclust: 7, 9, 17, 23, 26, 27, 29, 30, 33, 37, 38, 40, 42, 44, 45, 53, 55, 58, 59, 60, 62, 63, 64, 65,X23_ordered.csv.gz,FALSE,1,FALSE,0,30,19,4
X23,hisens,NA,2,-0.63,0.6.2,25,250,15,35,hg38,100,,X23_ordered.csv.gz,FALSE,1,FALSE,0,17,10,0
X2401,purity,0.51,3.5,-0.48,0.6.2,50,250,15,35,hg38,100,possibly subclonal 2+2 states present; mafR larger than expected if -0.0474277045011877 is diploid level; not consistent for 1 copy loss from diploid in segclust: 17, 20, 22,X2401_ordered.csv.gz,FALSE,1,FALSE,0,10,12,3
X2401,hisens,NA,2,-0.48,0.6.2,25,250,15,35,hg38,100,,X2401_ordered.csv.gz,FALSE,1,FALSE,0,1,2,0
X2412,purity,0.3,3.6,-0.3,0.6.2,50,250,15,35,hg38,100,not consistent for 1 copy loss from diploid in segclust: 7, 13, 19, 23, 26,X2412_ordered.csv.gz,FALSE,0.99,FALSE,0,26,16,9
X2412,hisens,0.29,3.6,-0.3,0.6.2,25,250,15,35,hg38,100,,X2412_ordered.csv.gz,FALSE,1,FALSE,0,16,9,1
X2415,purity,0.73,3.2,-0.53,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.285906684140723 is diploid level; not consistent for 1 copy loss from diploid in segclust: 9, 29, 34, 38, 41, 42, 44, 46, 48, 49, 50, 52, 53, 55, 56, 57,X2415_ordered.csv.gz,FALSE,0.99,FALSE,0,19,12,5
X2415,hisens,NA,2,-0.53,0.6.2,25,250,15,35,hg38,100,,X2415_ordered.csv.gz,FALSE,1,FALSE,0,2,4,0
X2429,purity,0.78,2.8,-0.38,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 18, 19, 22,X2429_ordered.csv.gz,FALSE,0.87,FALSE,0,19,19,7
X2429,hisens,0.81,2.7,-0.38,0.6.2,25,250,15,35,hg38,100,,X2429_ordered.csv.gz,FALSE,0.99,FALSE,0,9,8,2
X2438,purity,0.82,1.9,0.09,0.6.2,50,250,15,35,hg38,100,NA,X2438_ordered.csv.gz,FALSE,0.53,FALSE,0.17,8,6,9
X2438,hisens,NA,2,0.09,0.6.2,25,250,15,35,hg38,100,NA,X2438_ordered.csv.gz,FALSE,0.94,FALSE,0.25,14,5,5
X2443,purity,0.66,3.4,-0.55,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR larger than expected if -0.274687654407458 is diploid level; not consistent for 1 copy loss from diploid in segclust: 18, 19, 21, 23, 25, 26, 29, 31, 34,X2443_ordered.csv.gz,FALSE,1,FALSE,0,23,23,12
X2443,hisens,0.71,3.3,-0.55,0.6.2,25,250,15,35,hg38,100,,X2443_ordered.csv.gz,FALSE,1,FALSE,0,2,18,1
X2503,purity,0.74,3.6,-0.67,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.145467382853683 is diploid level; not consistent for 1 copy loss from diploid in segclust: 26, 28, 30, 34, 35, 38, 39, 40, 42, 43, 45, 46, 47, 49, 50, 51,X2503_ordered.csv.gz,FALSE,0.98,FALSE,0,18,21,2
X2503,hisens,NA,2,-0.67,0.6.2,25,250,15,35,hg38,100,,X2503_ordered.csv.gz,FALSE,1,FALSE,0,8,7,0
X2529,purity,0.65,3.3,-0.52,0.6.2,50,250,15,35,hg38,100,NA,X2529_ordered.csv.gz,TRUE,0.88,FALSE,0,17,16,8
X2529,hisens,0.63,3.4,-0.52,0.6.2,25,250,15,35,hg38,100,NA,X2529_ordered.csv.gz,FALSE,0.98,FALSE,0,18,14,2
X2554,purity,0.49,3.8,-0.52,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 7,X2554_ordered.csv.gz,TRUE,0.92,FALSE,0,25,20,3
X2554,hisens,NA,2,-0.52,0.6.2,25,250,15,35,hg38,100,,X2554_ordered.csv.gz,FALSE,0.99,FALSE,0,10,15,0
X2556,purity,0.61,3.1,-0.43,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if -0.372029776460768 is diploid level; not consistent for 1 copy loss from diploid in segclust: 10, 12, 13, 15, 17,X2556_ordered.csv.gz,TRUE,0.91,FALSE,0,22,18,11
X2556,hisens,0.6,3.2,-0.43,0.6.2,25,250,15,35,hg38,100,,X2556_ordered.csv.gz,FALSE,0.99,FALSE,0,14,14,3
X2577,purity,0.41,2.1,-0.019,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 8,X2577_ordered.csv.gz,FALSE,0.6,FALSE,0,20,6,5
X2577,hisens,NA,2,-0.019,0.6.2,25,250,15,35,hg38,100,,X2577_ordered.csv.gz,FALSE,0.84,FALSE,0,18,6,5
X2587,purity,0.3,2.8,-0.17,0.6.2,50,250,15,35,hg38,100,not consistent for 1 copy loss from diploid in segclust: 4, 13, 15,X2587_ordered.csv.gz,FALSE,0.95,FALSE,0,41,20,11
X2587,hisens,0.3,2.8,-0.17,0.6.2,25,250,15,35,hg38,100,,X2587_ordered.csv.gz,FALSE,0.97,FALSE,0,24,16,2
X2593,purity,0.39,2.7,-0.18,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 6, 10, 12,X2593_ordered.csv.gz,FALSE,0.94,FALSE,0,12,22,2
