Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	Pt1	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt2	Pt20	Pt21	Pt22	Pt23	Pt24	Pt25	Pt26	Pt27	Pt28	Pt29	Pt3	Pt30	Pt31	Pt32	Pt33	Pt34	Pt35	Pt36	Pt37	Pt38	Pt4	Pt5	Pt6	Pt7	Pt9	Pat02	Pat03	Pat04	Pat06	Pat07	Pat08	Pat100	Pat101	Pat103	Pat104	Pat105	Pat106	Pat109	Pat11	Pat110	Pat113	Pat115	Pat117	Pat118	Pat119	Pat121	Pat123	Pat124	Pat126	Pat127	Pat128	Pat129	Pat13	Pat130	Pat131	Pat132	Pat133	Pat135	Pat138	Pat139	Pat14	Pat140	Pat143	Pat147	Pat148	Pat15	Pat151	Pat157	Pat159	Pat16	Pat160	Pat162	Pat163	Pat165	Pat166	Pat167	Pat168	Pat17	Pat170	Pat171	Pat174	Pat175	Pat18	Pat19	Pat21	Pat24	Pat25	Pat27	Pat28	Pat29	Pat32	Pat33	Pat36	Pat37	Pat38	Pat39	Pat40	Pat41	Pat43	Pat44	Pat45	Pat46	Pat47	Pat49	Pat50	Pat54	Pat55	Pat56	Pat57	Pat58	Pat59	Pat60	Pat62	Pat63	Pat64	Pat66	Pat67	Pat70	Pat71	Pat73	Pat74	Pat76	Pat77	Pat78	Pat79	Pat80	Pat81	Pat82	Pat83	Pat85	Pat86	Pat88	Pat90	Pat92	Pat98	CR0095	CR04885	CR06670	CR1509	CR22640	CR3665	CR4880	CR6126	CR6161	CR7623	CR9306	CR9699	CRNR0244	CRNR2472	CRNR4941	LSD0167	LSD2057	LSD3484	LSD4691	LSD4744	LSD6819	LSDNR1120	LSDNR1650	LSDNR3086	LSDNR9298	NR1867	NR2137	NR3156	NR3549	NR4018	NR4045	NR4083	NR4631	NR4810	NR4949	NR5784	NR6689	NR6721	NR6842	NR8727	NR8815	NR9341	NR9445	NR9449	NR9521	NR9705	NR9765	PR03803	PR12117	PR4035	PR4046	PR4077	PR4091	PR4092	SD0346	SD1494	SD2051	SD2056	SD5038	SD5118	SD5934	SD6336	SD6494	SD7357	
Amplification Peak 11	11q12.3 	chr11:62300816-62652972(probes 138108:138152)  	chr11:62338653-62348914(probes 138113:138116)  	chr11:62301416-62686731(probes 138109:138156)  	0.0072077	  0.0087322		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	1	2	2	0	0	0	0	1	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	
Amplification Peak 12	11q13.3 	chr11:68574075-71148801(probes 138761:138943)  	chr11:69063352-69458771(probes 138795:138796)  	chr11:66039368-82956401(probes 138480:139692)  	1.7662e-07	 1.7902e-07		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	1	2	0	0	0	1	0	2	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
Amplification Peak 13	12p13.31	chr12:6167162-7102453(probes 143893:144000)      	chr12:6344501-7086901(probes 143916:143995)      	chr12:6173434-7121850(probes 143896:144002)      	0.039468	   0.039468		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	2	1	0	2	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
Amplification Peak 14	12q14.1 	chr12:57923125-58350630(probes 147626:147663)  	chr12:58128479-58157302(probes 147648:147651)  	chr12:55368246-63052114(probes 147386:147771)  	1.1644e-08	   0.000433		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	
Amplification Peak 15	12q15   	chr12:69127023-69603396(probes 148257:148277)  	chr12:69265643-69326507(probes 148269:148274)  	chr12:63398366-72288371(probes 147806:148452)  	9.7254e-10	 8.3332e-07		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	2	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	
Amplification Peak 16	14q11.2 	chr14:1-20760272(probes 160216:160268)         	chr14:1-20757844(probes 160216:160267)         	chr14:1-20764685(probes 160216:160272)         	0.0029479	  0.0029479		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	2	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	1	
Amplification Peak 17	15q26.3 	chr15:81655413-102252063(probes 172485:174049)	chr15:99506242-99758849(probes 173803:173827)  	chr15:71704206-102531392(probes 171568:174069)	1.8889e-06	 1.8889e-06		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	2	0	0	0	1	1	2	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	1	0	2	0	2	2	0	0	0	0	0	1	0	1	0	1	0	1	0	2	0	1	1	0	0	2	2	0	2	2	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	2	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	2	1	1	0	0	0	2	0	0	0	1	0	0	0	1	
Amplification Peak 18	16p11.2 	chr16:28734798-31503492(probes 176486:176766)  	chr16:31155065-31195597(probes 176719:176723)  	chr16:30621260-31342549(probes 176668:176745)  	0.11581	    0.11581		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	2	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	1	0	1	2	1	
Amplification Peak 19	17q25.1 	chr17:60814501-81195210(probes 185225:186801)  	chr17:74158669-74340906(probes 186268:186286)  	chr17:57126815-81195210(probes 184859:186801)  	0.00011415	 0.00011415		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	2	1	2	0	0	0	1	1	1	0	0	0	1	2	1	0	0	1	2	0	1	0	2	2	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	2	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	2	1	
Amplification Peak 20	19q13.43	chr19:57722807-59128983(probes 197456:197623)  	chr19:58797524-58806941(probes 197583:197584)  	chr19:57716763-59128983(probes 197455:197623)  	0.011646	   0.011646		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	2	0	1	0	0	1	0	1	2	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	2	1	2	0	1	0	1	0	1	0	0	2	0	0	2	1	0	2	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	2	2	2	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	
Amplification Peak 21	22q11.21	chr22:1-22152453(probes 204945:205414)         	chr22:19055543-19175094(probes 205120:205130)  	chr22:1-22415600(probes 204945:205434)         	0.0002535	   0.037053		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	1	1	0	0	1	1	1	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	0	1	2	1	0	0	0	1	1	1	0	2	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	2	1	2	1	1	0	1	0	0	2	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	2	0	0	1	0	1	2	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	2	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	1	1	2	1	1	0	0	1	0	0	0	2	2	
