cytoband	6p22.2	1q21.1	5q31.3	20q13.2	6q21	11q13.1	14q13.3	17q23.3	12p12.1	3q29	7q31.2	21q22.11	8q24.13	8p23.1	13q33.1	3q21.3	4q31.21	7q36.1	11q14.2	15q25.3	10q21.2	15q26.3	5p13.2	19q13.33	12q14.3	16p13.13	12q13.11	2q31.2	3q25.1	2q24.2	14q11.2	17q21.2	16q13	16q24.1	19q12	5p15.33	4q28.1	21q22.3	9q33.2	9p22.3	10q25.1	21q11.2	5q22.3	19q13.12	
	HIST1H2BF						LINC00609														PCDH15		PRKAA1		LOC100129940		PCED1B								THEG5	SEMA5A						LINC01549		APOC1	
	HIST1H2BE																				BICC1		PRLR		MIR548Z		ANO6								LOC102724908	TRIP13						SAMSN1-AS1		APOC1P1	
	HIST1H2BC																				ARID5B		PTGER4		LOC100507065		ARID2								LOC102724958	MARCH6								APOC2	
	HIST1H3A																				PHYHIPL		RAD1		MIR6074		AMIGO2									BASP1								APOC4	
	HIST1H3D																				ADO		RPL37		LOC105369187		LINC00938									SLC12A7								APOE	
	HIST1H3C																				JMJD1C-AS1		SEPP1				DBX2									PAPD7								KLK3	
	HIST1H3E																				C10orf107		SKP2				PCED1B-AS1									TPPP								ASNA1	
	HIST1H3B																				TMEM26		SLC1A3				LOC100288798									EXOC3								ATP1A3	
	HIST1H4A																				RTKN2		ZNF131				MIR4494									CCT5								ATP4A	
	HIST1H4D																				SLC16A9		OSMR				MIR4698									FBXL7								ATP5D	
	HIST1H4F																				FAM13C		NUP155				LOC105369747									ICE1								AXL	
	HIST1H4C																				REEP3		PAIP1													PP7080								AZU1	
	HIST1H4B																				JMJD1C		MRPS30													IRX4								BAX	
	HIST1H4E																				IPMK		NNT													TAS2R1								BCAT2	
	HIST1H4G																				LINC01553		TTC33													FAM134B								BCKDHA	
	TRIM38																				LOC283045		NIPBL													FAM105A								BCL3	
																					LRRTM3		RAI14													NSUN2								HCN2	
																					FAM133CP		FBXO4													CEP72								CEACAM1	
																					MIR1296		WDR70													ANKH								BLVRB	
																					MIR548F1		BRIX1													AHRR								BSG	
																					MTRNR2L5		CCL28													MRPL36								BST2	
																					MIR3924		TMEM267													BRD9								C3	
																					LINC00844		AGXT2													FASTKD3								C5AR1	
																					MRLN		C5orf42													IRX1								CA11	
																					LINC00845		SPEF2													ZDHHC11								CACNA1A	
																					TMEM26-AS1		CARD6													LPCAT1								CALM3	
																					LOC101928887		LMBRD2													CLPTM1L								CALR	
																					LINC01515		MROH2B													ROPN1L								CAPNS1	
																					LOC101928961		EGFLAM													MED10								CAPS	
																					LOC105378311		NADK2													NKD2								CCNE1	
																					LOC105378330		UGT3A1													OTULIN								CD22	
																					CCEPR		CAPSL													ZNF622								CD33	
																							DNAJC21													EXOC3-AS1								SIGLEC6	
																							TTC23L													UBE2QL1								CD37	
																							LOC153684													C5orf49								CD70	
																							UGT3A2													FAM173B								CD79A	
																							NIM1K													CMBL								ADGRE5	
																							RANBP3L													C5orf38								CDC34	
																							RICTOR													IRX2								CDKN2D	
																							C5orf51													ADAMTS16								CEACAM5	
																							PLCXD3													LINC01018								CEBPA	
																							HCN1													LINC01019								CEBPG	
																							C5orf34													LOC285692								CGB3	
																							ANXA2R													LOC285696								CEACAM3	
																							SNORD72													SLC6A19								CEACAM7	
																							FLJ32255													LINC01020								CEACAM8	
																							NIPBL-AS1													SLC6A18								CEACAM4	
																							LOC648987													LOC389273								CIRBP	
																							MIR580													FLJ33360								TBCB	
																							CCDC152													LOC401177								CKM	
																							LOC100132356													LINC01194								AP2S1	
																							MIR3650													MARCH11								CLC	
																							LOC100506406													LOC442132								CLPTM1	
																							EGFLAM-AS2													LOC646241								CNN1	
																							LIFR-AS1													ANKRD33B								CNN2	
																							LOC100506548													SDHAP3								COMP	
																							LOC100506639													LOC728613								COX6B1	
																							BRCAT54													LOC729506								COX7A1	
																							NNT-AS1													SNORD123								CRX	
																							EGFLAM-AS4													MIR887								CSNK1G2	
																							GDNF-AS1													LOC100130744								NCAN	
																							OXCT1-AS1													LOC100288152								CYP2A6	
																							LINC01265													MIR4277								CYP2A7	
																							LOC101926940													MIR4278								CYP2A13	
																							LOC101926960													LOC100505625								CYP2B6	
																							FGF10-AS1													MIR4458HG								CYP2B7P	
																							LOC101929745													SNHG18								CYP2F1	
																							OSMR-AS1													ROPN1L-AS1								DAPK3	
																							MIR7641-2													LOC100506688								DBP	
																							LINC00603													LINC01511								CFD	
																							BRCAT107													LOC100506858								DHPS	
																							LOC105374727													MIR4458								DMPK	
																							LOC105374729													MIR4454								DMWD	
																																				MIR4457								DNASE2	
																																				MIR4637								DNM2	
																																				MIR4636								DNMT1	
																																				MIR4456								ARID3A	
																																				MIR4635								ECH1	
																																				LOC100996325								EEF2	
																																				CTD-3080P12.3								EFNA2	
																																				LOC101929034								MEGF8	
																																				CTD-2194D22.4								ELANE	
																																				LOC101929153								ELAVL1	
																																				CTD-2297D10.2								ELAVL3	
																																				LOC101929261								EMP3	
																																				LOC101929284								ADGRE1	
																																				CTD-2201E9.1								EPOR	
																																				LOC101929412								NR2F6	
																																				LOC101929454								ERCC1	
																																				CTD-2350J17.1								ERCC2	
																																				LOC101929505								ERF	
																																				LOC101929524								FBL	
																																				LOC101929544								ETFB	
																																				MIR6131								ETV2	
																																				MIR6075								FARSA	
																																				LINC01377								FCAR	
																																				LINC01017								FCER2	
																																				LOC102723526								FCGRT	
																																				LOC105374620								FKBP1AP1	
																																				LOC105374631								FLT3LG	
																																				SNORD141A								FOSB	
																																												FPR1	
																																												FPR2	
																																												FPR3	
																																												FTL	
																																												FUT1	
																																												FUT2	
																																												FUT3	
																																												FUT5	
																																												FUT6	
																																												GAMT	
																																												GCDH	
																																												GIPR	
																																												GNA11	
																																												GNA15	
																																												GNG7	
																																												GPI	
																																												GPR4	
																																												GPR32	
																																												FFAR1	
																																												FFAR3	
																																												FFAR2	
																																												MKNK2	
																																												GPX4	
																																												GRIK5	
																																												GRIN2D	
																																												ARHGAP35	
																																												GSK3A	
																																												GTF2F1	
																																												GYS1	
																																												GZMM	
																																												HAS1	
																																												FOXA3	
																																												HNRNPL	
																																												HPN	
																																												HRC	
																																												PRMT1	
																																												DNAJB1	
																																												ICAM1	
																																												ICAM3	
																																												ICAM4	
																																												IL11	
																																												IL12RB1	
																																												ILF3	
																																												INSL3	
																																												INSR	
																																												IRF3	
																																												JAK3	
																																												JUNB	
																																												JUND	
																																												KCNA7	
																																												KCNC3	
																																												KCNJ14	
																																												KCNN1	
																																												KCNN4	
																																												KIR2DL1	
																																												KIR2DL2	
																																												KIR2DL3	
																																												KIR2DL4	
																																												KIR2DS1	
																																												KIR2DS3	
																																												KIR2DS4	
																																												KIR2DS5	
																																												KIR3DL1	
																																												KIR3DL2	
																																												KIR3DS1	
																																												KLK1	
																																												KLK2	
																																												LAIR1	
																																												LAIR2	
																																												LDLR	
																																												LGALS4	
																																												LGALS7	
																																												LHB	
																																												LIG1	
																																												LIM2	
																																												LIPE	
																																												LRP3	
																																												CYP4F3	
																																												BCAM	
																																												LYL1	
																																												MAG	
																																												MAN2B1	
																																												MATK	
																																												BORCS8-MEF2B	
																																												RAB8A	
																																												MAP3K10	
																																												MLLT1	
																																												MYO1F	
																																												MYBPC2	
																																												GADD45B	
																																												MYO9B	
																																												HNRNPM	
																																												CEACAM6	
																																												NDUFA3	
																																												NDUFA7	
																																												NDUFB7	
																																												NFIC	
																																												NFIX	
																																												NFKBIB	
																																												NKG7	
																																												CNOT3	
																																												NOTCH3	
																																												NOVA2	
																																												NPAS1	
																																												NPHS1	
																																												NRTN	
																																												NTF4	
																																												NUCB1	
																																												OAZ1	
																																												P2RY11	
																																												PAFAH1B3	
																																												PALM	
																																												PDE4A	
																																												PDE4C	
																																												PEG3	
																																												PEPD	
																																												PIK3R2	
																																												PIN1	
																																												PLAUR	
																																												FXYD1	
																																												FXYD3	
																																												POLD1	
																																												POLR2E	
																																												POLR2I	
																																												POLRMT	
																																												POU2F2	
																																												PPP2R1A	
																																												PPP5C	
																																												PRKACA	
																																												PRKCG	
																																												PKN1	
																																												PRKCSH	
																																												MAP2K2	
																																												MAP2K7	
																																												PSPN	
																																												PRRG2	
																																												KLK7	
																																												KLK6	
																																												KLK10	
																																												PRTN3	
																																												PSG1	
																																												PSG2	
																																												PSG3	
																																												PSG4	
																																												PSG5	
																																												PSG6	
																																												PSG7	
																																												PSG9	
																																												PSG11	
																																												PSMC4	
																																												PSMD8	
																																												PTBP1	
																																												PTGER1	
																																												PTGIR	
																																												PTPRH	
																																												PTPRS	
																																												PVR	
																																												NECTIN2	
																																												RAB3A	
																																												RAD23A	
																																												RELB	
																																												UPF1	
																																												RFX1	
																																												RFX2	
																																												RPL18	
																																												RPL18A	
																																												RPL28	
																																												MRPS12	
																																												RPS5	
																																												RPS9	
																																												RPS11	
																																												RPS15	
																																												RPS16	
																																												RPS19	
																																												RPS28	
																																												RRAS	
																																												RTN2	
																																												RYR1	
																																												SAFB	
																																												CLEC11A	
																																												SCN1B	
																																												CCL25	
																																												SEPW1	
																																												SGTA	
																																												SH3GL1	
																																												SLC1A5	
																																												SLC1A6	
																																												SLC5A5	
																																												SLC8A2	
																																												SMARCA4	
																																												SNAPC2	
																																												SNRNP70	
																																												SNRPA	
																																												SNRPD2	
																																												SPIB	
																																												STK11	
																																												AURKC	
																																												STXBP2	
																																												SULT2B1	
																																												SULT2A1	
																																												SUPT5H	
																																												SYT5	
																																												TBXA2R	
																																												TCF3	
																																												PRDX2	
																																												TGFB1	
																																												THOP1	
																																												ICAM5	
																																												TLE2	
																																												TNNI3	
																																												TNNT1	
																																												TPM4	
																																												TULP2	
																																												TYK2	
																																												TYROBP	
																																												UBA52	
																																												NR1H2	
																																												UQCRFS1	
																																												USF2	
																																												VASP	
																																												VAV1	
																																												XRCC1	
																																												ZFP36	
																																												ZNF8	
																																												ZNF14	
																																												ZNF708	
																																												ZNF17	
																																												ZNF20	
																																												ZNF28	
																																												MZF1	
																																												ZNF43	
																																												ZNF45	
																																												ZNF69	
																																												ZNF221	
																																												ZNF85	
																																												ZNF90	
																																												ZNF91	
																																												ZNF99	
																																												ZNF222	
																																												ZNF121	
																																												ZNF132	
																																												ZNF134	
																																												ZNF135	
																																												ZNF136	
																																												ZNF137P	
																																												ZNF146	
																																												ZNF154	
																																												ZNF155	
																																												ZNF175	
																																												ZNF177	
																																												ZNF180	
																																												ZNF208	
																																												ZNF223	
																																												ZNF224	
																																												ZNF225	
																																												ZNF226	
																																												ZNF227	
																																												ZNF112	
																																												ZNF229	
																																												ZNF230	
																																												MADCAM1	
																																												SF3A2	
																																												ELL	
																																												SYMPK	
																																												MIA	
																																												CLPP	
																																												DPF1	
																																												LTBP4	
																																												TEAD2	
																																												RANBP3	
																																												CYP4F2	
																																												PPFIA3	
																																												KHSRP	
																																												PLA2G4C	
																																												PLPP2	
																																												RFXANK	
																																												EIF3G	
																																												STX10	
																																												S1PR4	
																																												URI1	
																																												TNFSF14	
																																												TNFSF9	
																																												NAPA	
																																												SIGLEC5	
																																												FCGBP	
																																												AP1M1	
																																												AP3D1	
																																												PGLYRP1	
																																												F2RL3	
																																												UBE2M	
																																												ARHGEF1	
																																												PDCD5	
																																												DYRK1B	
																																												LPAR2	
																																												RAB11B	
																																												CRLF1	
																																												NUMBL	
																																												CYTH2	
																																												S1PR2	
																																												ZNF235	
																																												TRIP10	
																																												LONP1	
																																												ZNF264	
																																												KCNK6	
																																												NCR1	
																																												MED26	
																																												HOMER3	
																																												IL27RA	
																																												NAPSA	
																																												GDF15	
																																												TECR	
																																												ZNF254	
																																												GMFG	
																																												RAB3D	
																																												APBA3	
																																												IER2	
																																												KLK4	
																																												SAFB2	
																																												ZNF432	
																																												DHX34	
																																												KIAA0355	
																																												ZNF536	
																																												KMT2B	
																																												KEAP1	
																																												MED16	
																																												CHAF1A	
																																												SH2D3A	
																																												AP1M2	
																																												UBA2	
																																												SAE1	
																																												SUGP2	
																																												EBI3	
																																												TRIM28	
																																												ZNF256	
																																												DDX39A	
																																												ZNF443	
																																												PLIN3	
																																												AKAP8	
																																												FSTL3	
																																												LILRB2	
																																												APC2	
																																												PAK4	
																																												B3GNT3	
																																												CLEC4M	
																																												ABCA7	
																																												HMG20B	
																																												KLF2	
																																												TUBB4A	
																																												TMEM147	
																																												IFI30	
																																												TOMM40	
																																												TIMM44	
																																												CARM1	
																																												SEMA6B	
																																												ZNF211	
																																												CHERP	
																																												RNASEH2A	
																																												RABAC1	
																																												TRAPPC2B	
																																												SPINT2	
																																												KLF1	
																																												DLL3	
																																												CERS1	
																																												GIPC1	
																																												POP4	
																																												ZNF234	
																																												ZNF266	
																																												ZNF274	
																																												ZNF460	
																																												PPP1R13L	
																																												CD3EAP	
																																												RUVBL2	
																																												LILRB1	
																																												HCST	
																																												PNPLA6	
																																												KDELR1	
																																												UQCR11	
																																												LILRB5	
																																												ILVBL	
																																												SLC27A5	
																																												LILRB4	
																																												KLK11	
																																												TMED1	
																																												LILRA1	
																																												LILRB3	
																																												LILRA2	
																																												UPK1A	
																																												HNRNPUL1	
																																												CLASRP	
																																												KPTN	
																																												SLC7A9	
																																												CDC37	
																																												MAP4K1	
																																												KLK8	
																																												CYP4F8	
																																												PNKP	
																																												COPE	
																																												U2AF2	
																																												ATF5	
																																												ZFP30	
																																												ZNF507	
																																												ADGRL1	
																																												PPP6R1	
																																												CARD8	
																																												SBNO2	
																																												SIRT2	
																																												CYP2G1P	
																																												MAST1	
																																												UNC13A	
																																												KDM4B	
																																												MAST3	
																																												SIPA1L3	
																																												FCHO1	
																																												CIC	
																																												ZC3H4	
																																												ZFR2	
																																												SIN3B	
																																												HAUS5	
																																												ARHGEF18	
																																												CRTC1	
																																												MAU2	
																																												PIP5K1C	
																																												FBXO46	
																																												ETHE1	
																																												BRD4	
																																												RPL13A	
																																												ARHGAP45	
																																												SYNGR4	
																																												LILRA4	
																																												PRG1	
																																												CASP14	
																																												ZIM2	
																																												CBLC	
																																												NUP62	
																																												HSPBP1	
																																												PPP1R15A	
																																												PLD3	
																																												FKBP8	
																																												EML2	
																																												SHC2	
																																												TMEM59L	
																																												PGLS	
																																												ZNF324	
																																												LSM4	
																																												KLK5	
																																												ZNF345	
																																												PRKD2	
																																												RPL36	
																																												ZNF473	
																																												KANK2	
																																												CLIP3	
																																												FAM32A	
																																												LSM14A	
																																												KLK13	
																																												CCDC9	
																																												PRPF31	
																																												IRF2BP1	
																																												FGF21	
																																												GAPDHS	
																																												OR7A17	
																																												TIMM13	
																																												TSPAN16	
																																												DAZAP1	
																																												OR10H3	
																																												OR10H2	
																																												OR10H1	
																																												OR7E24	
																																												OR7C2	
																																												OR7A5	
																																												OR7C1	
																																												SNORA68	
																																												SNORD41	
																																												SNORD37	
																																												SNORD35A	
																																												SNORD34	
																																												SNORD33	
																																												SNORD32A	
																																												RNU6-1	
																																												ZNF285	
																																												AKAP8L	
																																												FGF22	
																																												ZBTB32	
																																												SIGLEC7	
																																												LYPD3	
																																												ARRDC2	
																																												BBC3	
																																												DKKL1	
																																												TJP3	
																																												CPAMD8	
																																												SIGLEC9	
																																												SIGLEC8	
																																												C5AR2	
																																												NMRK2	
																																												CHMP2A	
																																												DHDH	
																																												ZNF544	
																																												EIF3K	
																																												UBE2S	
																																												SLC6A16	
																																												C19orf53	
																																												BABAM1	
																																												LGALS13	
																																												UHRF1	
																																												CYP2S1	
																																												TFPT	
																																												STRN4	
																																												CCDC106	
																																												HOOK2	
																																												EPN1	
																																												SERTAD3	
																																												SERTAD1	
																																												SLC39A3	
																																												GLTSCR2	
																																												GLTSCR1	
																																												TNPO2	
																																												ADGRE2	
																																												CD209	
																																												EHD2	
																																												KLK14	
																																												KLK12	
																																												COL5A3	
																																												RDH8	
																																												SHANK1	
																																												NOSIP	
																																												MRPL4	
																																												NDUFA13	
																																												ANGPTL4	
																																												ZNF580	
																																												HSD17B14	
																																												GP6	
																																												VRK3	
																																												MARCH2	
																																												ZNF571	
																																												GMIP	
																																												CD320	
																																												ECSIT	
																																												THEG	
																																												ZBTB7A	
																																												FZR1	
																																												WDR83OS	
																																												ISYNA1	
																																												ZNF581	
																																												SIRT6	
																																												PIAS4	
																																												LSR	
																																												LSM7	
																																												ZNF44	
																																												TM6SF2	
																																												MBD3	
																																												PTOV1	
																																												S1PR5	
																																												FXYD7	
																																												FXYD5	
																																												RAB4B	
																																												MIER2	
																																												DDX49	
																																												PAF1	
																																												PCSK4	
																																												PPP1R12C	
																																												TRPM4	
																																												ZNF586	
																																												ZNF562	
																																												QPCTL	
																																												GATAD2A	
																																												BEST2	
																																												FBXL12	
																																												FAM83E	
																																												PGPEP1	
																																												CC2D1A	
																																												EPS8L1	
																																												RASIP1	
																																												TMEM161A	
																																												SARS2	
																																												TMEM160	
																																												C19orf24	
																																												PIH1D1	
																																												C19orf60	
																																												GPATCH1	
																																												SAMD4B	
																																												ATP5SL	
																																												PLEKHJ1	
																																												C19orf73	
																																												MAP1S	
																																												PNMAL1	
																																												TMEM143	
																																												KLHL26	
																																												ZNF444	
																																												C19orf66	
																																												ZNF331	
																																												FEM1A	
																																												ZNF823	
																																												KLK15	
																																												MED29	
																																												STAP2	
																																												TRMT1	
																																												BTBD2	
																																												NLRP2	
																																												RNF126	
																																												ZNF416	
																																												ZNF446	
																																												CCDC94	
																																												ASF1B	
																																												ZNF701	
																																												ZNF83	
																																												ZNF415	
																																												USE1	
																																												PSENEN	
																																												ZNF302	
																																												ANGPTL8	
																																												LIN37	
																																												MYDGF	
																																												SMG9	
																																												ZNF253	
																																												IRGC	
																																												SLC7A10	
																																												PPAN	
																																												CABP5	
																																												RETN	
																																												SPHK2	
																																												LGALS14	
																																												EXOSC5	
																																												MEIS3	
																																												NCLN	
																																												GPR108	
																																												SPPL2B	
																																												DUS3L	
																																												XAB2	
																																												SHD	
																																												CEACAM19	
																																												SLC17A7	
																																												NAT14	
																																												CD177	
																																												ATP13A1	
																																												RGL3	
																																												SLC44A2	
																																												VN1R1	
																																												MCOLN1	
																																												RCN3	
																																												ZNF304	
																																												TTYH1	
																																												WDR18	
																																												REXO1	
																																												PNMAL2	
																																												ZNF490	
																																												PRR12	
																																												DOCK6	
																																												ZNF471	
																																												ZNF492	
																																												TSHZ3	
																																												LRFN1	
																																												GRAMD1A	
																																												CAMSAP3	
																																												USP29	
																																												PLEKHA4	
																																												ZFP14	
																																												ZNF317	
																																												ZNF529	
																																												PRX	
																																												ANO8	
																																												SPTBN4	
																																												MARK4	
																																												SUGP1	
																																												HAMP	
																																												CATSPERG	
																																												CYP4F11	
																																												ZNF71	
																																												ZNF77	
																																												SCAF1	
																																												CACTIN	
																																												PRODH2	
																																												EPS15L1	
																																												WIZ	
																																												CACNG8	
																																												CACNG7	
																																												CACNG6	
																																												UBL5	
																																												ZNF350	
																																												TSKS	
																																												CELF5	
																																												ZNF667	
																																												DMRTC2	
																																												C19orf33	
																																												ELSPBP1	
																																												LIN7B	
																																												HIF3A	
																																												CHST8	
																																												PLPPR2	
																																												ZNF574	
																																												PLEKHG2	
																																												RASAL3	
																																												MRPL34	
																																												KRI1	
																																												ZSWIM4	
																																												ZNF649	
																																												ZSCAN18	
																																												CENPBD1P1	
																																												CYP4F12	
																																												YIPF2	
																																												C19orf43	
																																												DDA1	
																																												KXD1	
																																												TMEM38A	
																																												TSEN34	
																																												KCTD15	
																																												SLC25A23	
																																												SMIM7	
																																												ZNF426	
																																												TRAPPC6A	
																																												MBOAT7	
																																												FKRP	
																																												ZSCAN5A	
																																												PLEKHF1	
																																												LENG1	
																																												LILRP2	
																																												LILRA6	
																																												RBM42	
																																												C19orf57	
																																												ZNF576	
																																												FSD1	
																																												ZNF557	
																																												LRFN3	
																																												ABHD8	
																																												CERS4	
																																												OCEL1	
																																												ZNF329	
																																												COLGALT1	
																																												IGFLR1	
																																												TBC1D17	
																																												ZNF419	
																																												GEMIN7	
																																												ISOC2	
																																												MYH14	
																																												ZNF665	
																																												TLE6	
																																												ZNF552	
																																												EPHX3	
																																												PODNL1	
																																												ZNF671	
																																												ZNF613	
																																												COQ8B	
																																												CNTD2	
																																												SLC35E1	
																																												PLPPR3	
																																												DENND1C	
																																												ZNF442	
																																												ZNF702P	
																																												ZNF556	
																																												CEBPA-AS1	
																																												ZNF606	
																																												ZNF614	
																																												LRRC8E	
																																												PRR36	
																																												FUZ	
																																												OPA3	
																																												ZNF430	
																																												ITPKC	
																																												UBXN6	
																																												PBX4	
																																												KIAA1683	
																																												B9D2	
																																												OR4F17	
																																												RSPH6A	
																																												CCDC130	
																																												ACSBG2	
																																												ADAMTS10	
																																												ZNF611	
																																												MED25	
																																												QTRT1	
																																												ABHD17A	
																																												ZNF93	
																																												DOHH	
																																												PLVAP	
																																												RTBDN	
																																												BCL2L12	
																																												C19orf12	
																																												TEX101	
																																												GRWD1	
																																												ANGPTL6	
																																												KLF16	
																																												USHBP1	
																																												WDR87	
																																												TSSK6	
																																												CCDC8	
																																												KIRREL2	
																																												ANKRD27	
																																												PRAM1	
																																												C19orf44	
																																												ZNF541	
																																												MRI1	
																																												SYT3	
																																												FBXW9	
																																												ALKBH7	
																																												WDR83	
																																												PDCD2L	
																																												ZNF414	
																																												AKT1S1	
																																												ELOF1	
																																												ZNF528	
																																												DOT1L	
																																												BRSK1	
																																												ZNF333	
																																												FBN3	
																																												ZNF527	
																																												CNFN	
																																												ZNF559	
																																												SNORD35B	
																																												KISS1R	
																																												ADGRE3	
																																												ZNF347	
																																												CREB3L3	
																																												GTPBP3	
																																												HDGFRP2	
																																												ZNF577	
																																												MPV17L2	
																																												ZNF607	
																																												KMT5C	
																																												C19orf48	
