Sample	Chromosome	Start_position	End_position	Num_markers	Seg.CN
X103	14	23530000	24608500	642	-0.984299065496453
X103	14	24609400	39431900	884	-0.777040688887679
X103	14	39432200	90399200	4805	-1.53483518972441
X103	14	90400100	106875046	3161	-0.849631145310812
X103	15	20003700	20597400	90	-0.679630911734415
X103	15	20627400	27530600	620	-0.411697267354706
X103	15	27530900	35926800	1149	-0.852434198760325
X103	15	35927000	43022700	1599	-1.59344813755691
X103	15	43024800	51464700	1484	-0.812986533629212
X103	15	51465000	79560100	4459	-1.55120185709448
X103	15	79743300	101976055	2607	-0.855278447670541
X103	16	60500	5097700	2750	-0.881561501932405
X103	16	5467400	28211369	3021	-1.59158563746546
X103	16	28317168	90222600	8739	-0.883886000592624
X103	17	137500	14024460	4158	-1.59860614033366
X103	17	14069638	21244091	1671	-1.60579831097246
X103	17	21244400	22049797	66	-1.6426522976096
X103	17	22049824	46297344	6030	-1.60669656094905
X103	17	46305454	46550400	24	-2.7086922891173
X103	17	46553500	81194165	7048	-1.56906204465983
X103	18	47500	11609660	967	-1.5064711208528
X103	18	11610006	14221483	393	-0.770479119497786
X103	18	14225700	37657300	1525	-0.775320655210608
X103	18	39622046	66551338	1771	-1.51649192654799
X103	18	66554451	77437061	479	-0.803425650162143
X103	19	107600	4861500	2254	-1.56493016335423
X103	19	4891100	18465339	6161	-0.89137692190156
X103	19	18465674	18637200	71	-0.461989835929341
X103	19	18664267	35228354	2111	-0.861099908652625
X103	19	35228600	36146000	662	-0.490099781552045
X103	19	36146300	37898222	418	-0.317264426877137
X103	19	37898300	41837999	1928	-0.548157749394764
X103	19	41838245	43848601	901	-1.06382785660392
X103	19	43872529	44479350	240	-0.881698089517543
X103	19	44484388	51719100	3696	-1.09814299207023
X103	19	51719495	53768622	792	-0.854445512400102
X103	19	53775563	54415075	364	-1.12780070093799
X103	19	54415508	54696059	173	-1.10537046950886
X103	19	54696327	58599200	1898	-1.04021290747713
X103	20	87600	4248700	995	-1.60733018010311
X103	20	4629800	10043300	361	0.207196457211548
X103	20	10044302	62964416	6705	-0.870465819132632
X103	21	9549000	46681100	3497	-1.57572864145191
X103	22	16136900	35317600	4191	-1.61260241901824
X103	22	35318052	35898200	119	-0.906687598696281
X103	22	35938700	50799100	3898	-1.61925088054309
X1032	1	17000	2504200	910	-0.59914307820167
X1032	1	2504300	12304400	1902	-0.787518815319667
X1032	1	12304800	68483300	9866	-0.984314733211286
X1032	1	68484300	77417500	447	-1.42237013183652
X1032	1	77483300	103433000	1927	-1.19672989236219
X1032	1	103526200	103537547	10	-0.677069189237643
X1032	1	103541604	120524000	2260	-0.680599945159563
X1032	1	120530000	153607600	1927	-0.85679943836677
X1032	1	153607881	174877600	4593	-0.7609555832768
X1032	1	174957500	205121700	3628	-0.922905436783236
X1032	1	205122000	205202500	24	-0.836068119079152
X1032	1	205211300	205269900	11	-1.03536098284869
X1032	1	205271017	210329000	798	-1.14035352791875
X1032	1	210329265	221738992	910	-0.940089061364372
X1032	1	221739466	233054500	1684	-0.755112323670816
X1032	1	233057356	233328900	43	-1.7624925114763
X1032	1	233346700	248574231	1578	-0.747722814356143
X1032	1	248574600	248681658	19	-1.48421959617462
X1032	1	248682055	248858600	41	-0.682145965060203
X1032	2	14400	17772800	1092	-0.516606104214603
X1032	2	17773000	23867900	338	-0.711546687503952
X1032	2	23869800	28643000	1383	-0.491019783268471
X1032	2	28752000	32024300	382	-0.952017622567075
X1032	2	32029900	132417951	9006	-0.839586588805274
X1032	2	132645034	239799904	11248	-0.991558786327182
X1032	2	239800034	241253466	535	-1.34548381242743
X1032	3	197800	8625800	365	-0.991098295810368
X1032	3	8626300	15228900	1359	-0.798052734027436
X1032	3	15230500	37109600	1252	-0.960310599347483
X1032	3	37111000	37741900	93	-1.02496605675359
X1032	3	37743900	54123700	4598	-1.19377690834065
X1032	3	54320400	77635200	1427	-0.997141452819601
X1032	3	77642800	97871900	310	-0.898520915943487
X1032	3	97872300	98533000	135	-0.501973525657096
X1032	3	98562400	197960603	9696	-0.815123310990394
X1032	4	53400	16075900	2192	-0.966780151985959
X1032	4	16163000	39189600	893	-1.24205927621051
X1032	4	39194500	47894300	639	-0.988877364955714
X1032	4	47898000	68338500	965	-1.23420733664402
X1032	4	68349500	95152800	2376	-0.9649149296714
X1032	4	95154700	169731700	4508	-1.19674552760848
X1032	4	169737580	190060400	974	-0.97870517007361
X1032	5	140400	14336500	1088	-0.353057013877254
X1032	5	14336800	35084700	825	-0.504282693303939
X1032	5	35086100	50759700	1002	-0.823784329917933
X1032	5	50760400	139422600	6113	-1.15471419689258
X1032	5	139425100	157165600	2835	-0.632139994182906
X1032	5	157166110	180902359	2601	-0.799312357263504
X1032	6	152800	26598200	1986	-1.22170122925251
X1032	6	26598600	44249200	4989	-0.972257629930144
X1032	6	44249700	109431277	4007	-1.05869048163108
X1032	6	109436208	110476409	211	-1.05246238219881
X1032	6	110476702	135103200	1833	-1.21422035904459
X1032	6	135185800	170564617	3247	-1.42972503189683
X1032	6	170566847	170640200	15	-1.20553155315708
X1032	7	19700	20755600	1956	-1.44711708816136
X1032	7	20784400	55590000	3040	-1.00896303327279
X1032	7	55590300	75599200	1422	-0.901922136491214
X1032	7	75611700	126702000	5149	-0.984165882842947
X1032	7	126769789	142671264	2200	-0.802014658559429
X1032	7	142715500	143398932	250	-1.17731225582346
X1032	7	143399020	159117500	1843	-0.824465192334722
X1032	8	166700	40825800	3564	-1.02009502877427
X1032	8	41224800	43197800	386	-0.547688298224985
X1032	8	43198000	78602000	1804	-0.830761422539155
X1032	8	78675700	132752017	3232	-0.656492462340876
X1032	8	132758900	145054010	1982	-0.904377951940844
X1032	9	12200	32334300	1633	-0.619781011813645
X1032	9	32384600	33750900	309	-0.812836184427606
X1032	9	33786300	39447000	1199	-0.610712793372023
X1032	9	39447300	92522600	1908	-0.866756108103043
X1032	9	92527900	138217100	8198	-1.18249536296209
X1032	10	84700	237700	10	-0.99189351959094
X1032	10	239400	70301600	5276	-1.19443606873931
X1032	10	70323700	72213200	395	-0.996869029457276
X1032	10	72224000	72336100	12	-1.72439483638527
X1032	10	72336600	133659662	7492	-0.989965476081733
X1032	11	134700	28197600	4549	-1.14723432201357
X1032	11	28211100	33591600	341	-0.698678552573571
X1032	11	33598700	62626600	3463	-0.81994938839493
X1032	11	62626900	74492100	4003	-0.648669464703978
X1032	11	74492400	134487876	6501	-1.04490343937146
X1032	12	66900	19283700	3122	-1.41435723565592
X1032	12	19287500	19320700	10	-1.08744008447035
X1032	12	19320800	25119300	431	-1.22338877453309
X1032	12	25121900	40028500	924	-1.0040788334785
X1032	12	40048200	126465800	12324	-1.18584745212862
X1032	12	126510367	133234400	771	-0.978336670731647
X1032	13	19026000	37579000	1769	-1.04611047050468
X1032	13	37579300	63746700	1493	-1.33357378632117
X1032	13	63747000	114325100	2447	-1.09151408618986
X1032	14	19096600	55680800	3987	-0.989636316097058
X1032	14	55684000	105986821	6421	-1.19898221471077
X1032	14	105987100	106875046	236	-1.00077971087649
X1032	15	20003800	101966200	11632	-1.16796219440998
X1032	16	60500	90222400	13920	-1.19935292138055
X1032	17	137700	15908494	4166	-1.02370300010913
X1032	17	15945232	38228777	3974	-1.19690184204129
X1032	17	38256800	81194200	10132	-0.977156046325158
X1032	18	47600	6870600	482	-1.21693020024368
X1032	18	6873600	7231300	119	-0.847743927960229
X1032	18	7231400	46040100	2432	-1.22099126526286
X1032	18	46040997	58744500	1004	-1.03915101207533
X1032	18	58745700	73774800	681	-1.27926678544481
X1032	18	74073539	76991108	260	-1.09289129847796
X1032	18	77009636	77437100	23	-1.14950719111069
X1032	19	107400	8605800	3608	-1.17381062077298
X1032	19	8811500	19768734	5044	-0.748991242109322
X1032	19	19786615	28523528	720	-0.601200136772652
X1032	19	28790700	39836672	2741	-0.774040351150639
X1032	19	39837700	49033285	4005	-0.987360936078608
X1032	19	49033700	52431658	1781	-1.17139115553953
X1032	19	52433900	53807453	544	-0.97652413152949
X1032	19	53807836	58417827	2218	-1.1362101221211
X1032	19	58432300	58599311	117	-1.02875394458446
X1032	20	87700	6115900	1150	-0.765961187016863
X1032	20	6116100	9408900	102	-0.918534728634156
X1032	20	9409200	35473628	2480	-0.841099866720379
X1032	20	35473900	52158300	2844	-1.00069202748903
X1032	20	52159066	62964416	1172	-0.863778848263698
X1032	21	9549000	46681000	3369	-1.06143457721355
X1032	22	16136800	23271600	1753	-1.10001395847163
X1032	22	23273100	37143600	2736	-1.18922130187854
X1032	22	37143673	41236500	1259	-1.07944570616994
X1032	22	41237200	50522530	1974	-1.19634501726055
X1032	22	50522740	50799100	172	-1.11689206037604
X1040	1	13300	946700	44	-0.735533287362726
X1040	1	948200	15482500	2974	-0.843123674716397
X1040	1	15483500	18910300	926	-0.958638439761143
X1040	1	18910600	83883200	8869	-0.839649030042264
X1040	1	83887200	92380900	852	-1.02691600740019
X1040	1	92387100	117173300	2504	-1.11425566695884
X1040	1	117210800	143449700	463	-0.953688086089525
X1040	1	143450300	151424200	1263	-0.834508609739269
X1040	1	151425036	157588167	2411	-0.912919668334853
X1040	1	157589332	174958251	2543	-0.841917744508506
X1040	1	174965100	227646600	5834	-0.677220615462668
X1040	1	227651246	232399400	764	-0.758301393323278
X1040	1	232402488	248858642	1655	-0.626847931381874
X1040	2	14400	216194900	18932	-0.944487921555643
X1040	2	216204428	241236800	3881	-1.02974153667786
X1040	2	241238800	241253600	16	-0.805045006310037
X1040	3	197800	1385700	50	-0.94547080641367
X1040	3	1401500	45001600	4039	-1.14738628207309
X1040	3	45005200	52897500	3029	-1.22403382101314
X1040	3	52905200	90234500	1761	-1.11769742236115
X1040	3	93874400	98498600	204	-0.844618629736043
X1040	3	98501300	130093163	3438	-0.949359697329088
X1040	3	130099294	197960581	5686	-0.768207071855886
X1040	4	53400	190060400	11644	-0.916083982374562
X1040	5	140400	132752256	7611	-0.916423267069552
X1040	5	132752900	180793000	6150	-0.988977375729185
X1040	5	180848652	180902460	13	-0.88540756620704
X1040	6	106000	29750600	2384	-0.814587364418551
X1040	6	29751100	44313300	4441	-0.882787999048702
X1040	6	44342600	106451900	3295	-0.774622979648228
X1040	6	106511549	109009400	259	-1.03998102084034
X1040	6	109094000	109792563	197	-0.779333167551926
X1040	6	109796700	170553212	4861	-1.00296167488687
X1040	6	170557000	170640300	19	-0.759131964165785
X1040	7	19700	6675700	1223	-1.05975664634987
X1040	7	6676100	148941588	12362	-0.951375081178458
X1040	7	149002900	159117420	1473	-1.03561055363849
X1040	8	166700	458600	29	-0.927767231611624
X1040	8	463200	43318500	3741	-1.20546190043954
X1040	8	43342000	132867967	4738	-0.846083398563555
X1040	8	132868252	144547500	1750	-0.995553065180205
X1040	8	144547700	145053900	121	-0.716597979833706
X1040	9	12100	112582000	6866	-1.12884118450589
X1040	9	112618000	137716744	5591	-1.24286872505214
X1040	9	137716984	138177400	146	-1.06784605032152
X1040	10	85500	27412000	2182	-1.00205549798681
X1040	10	27413200	42470200	706	-1.17306198115794
X1040	10	42520000	133659662	9572	-0.988289749940583
X1040	11	134500	45847400	5286	-1.1039814788979
X1040	11	45847800	60737100	1911	-1.02310453001946
X1040	11	60738900	69703500	3666	-1.13246751863808
X1040	11	69810300	70936500	180	-0.786982818525547
X1040	11	70942600	75477700	979	-1.06921068462457
X1040	11	75566200	79402200	565	0.424197177017822
X1040	11	79988800	134487876	5421	-1.03182867870735
X1040	12	67000	47711700	4923	-0.943631681789172
X1040	12	47711900	49131200	624	-1.14113389613813
X1040	12	49185100	54463400	1774	-0.997378865981559
X1040	12	54465100	68252500	2144	-0.861657629012746
X1040	12	68252700	98699500	1953	-0.990496539494275
X1040	12	98703500	132659414	5229	-1.07836195929439
X1040	12	132659600	133234532	165	-0.854938408671622
X1040	13	19026300	21292700	274	-1.08322211208628
X1040	13	21293600	26019900	471	-0.810197080610342
X1040	13	26046700	97464400	3153	-1.10429499625643
X1040	13	97953900	109179800	707	-0.608475268452806
X1040	13	109206700	112968700	393	-0.286195852420088
X1040	13	112969300	113462700	186	-0.645078631570869
X1040	13	113474067	114325200	194	-0.947355298059903
X1040	14	19096600	105922523	9945	-1.11917910592949
X1040	14	105939900	106875100	231	-0.856305077369751
X1040	15	20003800	101977500	11216	-1.09491413302864
X1040	16	60600	90171341	13446	-1.11144763071725
X1040	17	137700	6428600	1767	-1.13269545757699
X1040	17	6434100	7388500	454	-0.953235122875109
X1040	17	7388800	19379200	2829	-1.20966882858736
X1040	17	19380000	30568000	1507	-0.901708058193914
X1040	17	30568313	41945100	2849	-1.02875252888398
X1040	17	41953386	49317800	2374	-0.871407670491371
X1040	17	49370810	65961640	2674	-0.985096083067684
X1040	17	66000800	70131000	588	-0.83255581632565
X1040	17	70132300	76011700	1224	-0.977988482728912
X1040	17	76011765	80995200	1342	-0.860233528721473
X1040	17	80995790	81194195	98	-1.06488811358286
X1040	18	47500	77437100	4679	-0.875098864054378
X1040	19	107500	7973800	3165	-1.21709413699677
X1040	19	7981000	9762200	711	-0.733672150491498
X1040	19	9763400	13212447	1734	-0.830040715118451
X1040	19	13212608	15611590	877	-0.774733025221196
X1040	19	15611928	16210543	223	-0.596380131726791
X1040	19	16226600	18258200	983	-0.393744649312356
X1040	19	18258310	18386700	38	-0.461659355285457
X1040	19	18388300	19335610	459	-0.998494863847844
X1040	19	19335900	19803300	202	-0.335874676990267
X1040	19	19805927	21020682	207	-0.972977285175285
X1040	19	21020900	23145630	349	-0.787679315558529
X1040	19	23146100	29527462	152	-1.19567249522925
X1040	19	29528442	32810345	220	-0.348871204800472
X1040	19	32811300	33512900	196	-0.0177626552258056
X1040	19	33689200	35551400	491	-0.571539471964039
X1040	19	35553049	35563720	23	-0.59568257809527
X1040	19	35612782	44635531	3793	-1.16153863447437
X1040	19	44644040	49908700	2569	-1.24272209474559
X1040	19	49908960	52504800	1092	-1.1539192963437
X1040	19	52505000	53204281	268	-0.657756753731011
X1040	19	53211600	55048188	997	-1.10104253531381
X1040	19	55048700	55693164	434	-1.25423292733661
X1040	19	55694700	58599315	1081	-1.05028990420885
X1040	20	87700	62964416	7439	-1.00702747845874
X1040	21	9548900	46681100	3217	-1.07388930208287
X1040	22	16136900	50799058	7665	-1.18870931715428
X106	1	13300	786500	17	-0.929838168729156
X106	1	817400	17011700	3785	-1.20038936967113
X106	1	17018900	33098000	3593	-1.07337275937484
X106	1	33098300	42696300	1808	-0.667269746257583
X106	1	42696400	51344800	1616	-0.862494247988035
X106	1	51345100	51937400	103	-0.64583563943633
X106	1	51976800	108793485	4369	-0.9781029785392
X106	1	108794900	145311000	2132	-1.05164347356708
X106	1	145393200	165408400	5240	-0.939299238088709
X106	1	165409700	200873100	3434	-0.986094457599986
X106	1	200873513	210362734	2171	-1.07599335965563
X106	1	210362934	228102400	1760	-0.990501581468992
X106	1	228102800	233208600	826	-1.16368594640319
X106	1	233208700	234460200	99	-1.09609084701726
X106	1	234460456	248858600	1552	-0.978264278169085
X106	2	14300	24017000	1455	-0.856279403040364
X106	2	24017300	42261300	2589	-0.962288645868857
X106	2	42263300	70297400	2126	-0.860707073925584
X106	2	70300600	91941200	2108	-1.00822505260691
X106	2	91941400	100821300	1167	-0.896891991503191
X106	2	100904693	137663600	3173	-1.02607033875602
X106	2	137667800	164779900	1618	-0.863040775926087
X106	2	164800586	196872577	3531	-0.916203800030741
X106	2	196873000	205301800	1040	-0.824664197452493
X106	2	205401100	205745700	31	-1.18821676499927
X106	2	205745953	231077016	3125	-0.984584520231917
X106	2	231079600	241223800	1946	-1.09729337502761
X106	2	241223900	241253500	30	-0.927785402453857
X106	3	197900	78693300	9143	-1.04629980577851
X106	3	78714600	121727034	2361	-0.860178141140932
X106	3	121727100	130405891	1714	-0.959400744762066
X106	3	130406145	160226062	2652	-0.859702811215235
X106	3	160226355	180659683	1121	-0.717873100401023
X106	3	180660700	191952600	1355	-0.862633193422607
X106	3	192144126	197960581	915	-1.05938073145067
X106	4	53200	10667900	1913	-0.827605549222835
X106	4	11372200	42423000	1556	-0.963081999662046
X106	4	42423700	73847800	1864	-0.846701475448813
X106	4	73848100	145680528	4663	-0.968688211540247
X106	4	145696700	145870493	28	-0.758801933310156
X106	4	145885900	190060300	2423	-1.10238143763008
X106	5	140500	5393800	603	-1.06141592154005
X106	5	5394100	109855242	5877	-0.950093379431688
X106	5	109864951	138152822	2174	-1.08458418202567
X106	5	138157100	161897200	3602	-1.18660170909661
X106	5	161897400	180902600	2171	-1.07761764473495
X106	6	105900	55327400	7987	-0.906913530560135
X106	6	55327700	86897200	1669	-0.786067869312655
X106	6	87015500	138092400	3606	-0.892897654890515
X106	6	138096278	169239806	2886	-0.998679267015616
X106	6	169239904	170640300	144	-0.893172919729373
X106	7	19700	8221400	1422	-1.1896352621512
X106	7	8223500	66453600	4098	-0.900928505097039
X106	7	66505100	102274484	4117	-1.13309007883102
X106	7	102275300	137164200	3154	-0.990620521371917
X106	7	137228100	142255409	811	-0.845197551926929
X106	7	142255546	151242900	1432	-0.996683673154643
X106	7	151243752	158923700	713	-0.871573488850061
X106	7	158926100	159117420	32	-0.920897340206276
X106	8	166700	330900	23	-0.968351474939061
X106	8	378200	39584800	3450	-1.15375610792876
X106	8	39585300	99868500	3516	-0.891490910641553
X106	8	99870900	138177463	2313	-0.825304330273628
X106	8	138178450	145053963	1663	-0.895124633749322
X106	9	12100	33221200	1803	-0.925155781932165
X106	9	33240300	110138505	5063	-1.02479449870571
X106	9	110156475	112838547	390	-0.958715381605083
X106	9	112851000	138047100	5885	-1.10209691103485
X106	9	138047400	138177400	56	-0.957372851621626
X106	10	84800	69208600	4983	-0.961428823986769
X106	10	69208800	133556839	8127	-1.0333955884782
X106	10	133556966	133659662	21	-1.0785178225658
X106	11	131100	209300	22	-1.04201921416708
X106	11	209500	5545500	1701	-1.20464758092062
X106	11	5551800	64935600	7638	-1.03126571626158
X106	11	64938500	65281900	218	-0.741434282395897
X106	11	65282400	70272300	1763	-1.08090728504125
X106	11	70272600	72841000	636	-0.828194908408511
X106	11	72841400	75405700	513	-0.649809758484841
X106	11	75422400	93687700	1369	-0.78644131326149
X106	11	93691700	110237900	1305	-0.644837982205779
X106	11	110247639	128904406	3112	-0.822158520001196
X106	11	128904600	134487876	583	-0.948079970439087
X106	12	67100	18081500	3093	-1.03110117574241
X106	12	18084500	47711700	2161	-0.909217880476282
X106	12	47712400	75495600	5272	-1.00091100273487
X106	12	75498900	123879300	6081	-0.921449802303317
X106	12	123879600	133234400	1056	-1.06197045726027
X106	13	19026100	70924200	3334	-0.987743503469684
X106	13	70924500	109055661	1543	-0.851024126894587
X106	13	109065598	114325100	836	-0.952152119603643
X106	14	19096600	19657500	27	-0.952650016535845
X106	14	19666400	21736400	656	-0.646054907069392
X106	14	21736700	29599900	1429	-1.11206361003531
X106	14	29624200	64173800	2679	-0.842973430262826
X106	14	64174900	81477300	2455	-0.952397978695118
X106	14	81479700	81499400	15	-0.888761634200974
X106	14	81502800	106875000	3412	-1.0735074946366
X106	15	20003800	64970200	6425	-1.05805694153195
X106	15	64974800	68290600	643	-0.811469705065576
X106	15	68290900	81003300	2234	-0.996160069442556
X106	15	81003400	101922500	2340	-0.793626041607292
X106	16	60500	5090500	2627	-1.22154043167837
X106	16	5091900	21547770	1881	-1.03813496600458
X106	16	21548120	31423600	2416	-0.893662625516875
X106	16	31423753	46564300	327	-1.01462834133
X106	16	46568907	90171464	6637	-1.19688127792153
X106	17	137600	9180000	3282	-1.07251919245479
X106	17	9182800	10528800	352	-0.919028631341306
X106	17	10529000	12746200	279	-0.993089136256578
X106	17	12752360	29122000	2560	-1.19898494089756
X106	17	29122314	32022300	627	-1.01692874311127
X106	17	32022622	58358769	6334	-1.08616755147665
X106	17	58360408	73252581	2278	-0.96996716004546
X106	17	73252815	76082589	1224	-1.09508141608548
X106	17	76083600	81194195	1422	-0.978349491333053
X106	18	47500	2796500	223	-0.843075665516097
X106	18	2802400	20951400	1198	-1.02939235558584
X106	18	20953676	28211800	667	-0.780690959644119
X106	18	28652224	77437100	2881	-1.15582396720152
X106	19	107400	5e+05	79	-1.07811418305192
X106	19	500300	6702500	2624	-1.18241619058797
X106	19	6707200	20498637	6049	-1.05316657211909
X106	19	20623900	24163415	571	-0.725402814979064
X106	19	27750134	58599311	11437	-1.04174398965457
X106	20	87800	297700	33	-0.772123183396237
X106	20	298000	25501100	2453	-1.02778597762026
X106	20	25504000	62964443	5302	-0.866279353507523
X106	21	9548900	41245900	1868	-1.02408324840644
X106	21	41246125	45900976	1104	-1.14282554498748
X106	21	45909279	45990712	34	-0.985410782395868
X106	21	45991000	46680900	378	-0.900231351516471
X106	22	16136900	50799058	7961	-1.11555634871413
X1097	1	13200	2304500	866	-1.54646043954615
X1097	1	2306100	18636500	3448	-1.74839073711893
X1097	1	18691800	19268900	286	-2.0380071205227
X1097	1	19269300	28474200	2300	-1.79828579869144
X1097	1	28476100	29039500	112	-1.62100466508828
X1097	1	29053100	31645100	309	-1.11018366186717
X1097	1	31652800	32201900	243	-1.76632035862965
X1097	1	32202300	33334300	328	-1.02914768546323
X1097	1	33354500	34904600	223	-1.35966637248268
X1097	1	34904800	54759300	4093	-1.10626249652363
X1097	1	54781200	56208200	187	-1.26969400346599
X1097	1	56496600	59990800	247	-2.07327051904004
X1097	1	59997600	61455400	40	-1.32748140007802
X1097	1	61654600	62238400	83	-0.164320987290814
X1097	1	62247500	81994000	1422	-0.742278741459039
X1097	1	83869900	117210900	3797	-1.17954868711202
X1097	1	117368200	143499000	529	-0.812948058230495
X1097	1	143541847	150068813	763	-0.430248255621125
X1097	1	150072109	152032700	863	-0.231210788597135
X1097	1	152033006	153458000	323	-0.537881759139339
X1097	1	153458733	156794700	1800	-0.266985583149232
X1097	1	156797100	168043200	2194	-0.442410622309861
X1097	1	168044638	179448000	1440	-0.163862564325985
X1097	1	179449200	196428049	1488	-0.461113949200016
X1097	1	196428300	200575781	409	-1.13721486379729
X1097	1	200580323	201228200	310	-0.714826784400758
X1097	1	201228548	208142500	1869	-1.19018648189719
X1097	1	208210148	222995100	1298	-1.90512175188465
X1097	1	223002500	227129332	698	-0.946520053803162
X1097	1	227139801	228917000	432	-0.757041461173463
X1097	1	229249579	248858600	2359	-0.980060798386458
X1097	2	14300	8785900	415	-1.79006318302911
X1097	2	8786000	29189600	2700	-1.09539885720816
X1097	2	29193300	30993000	143	-1.33148084460169
X1097	2	31079000	43224700	1147	-1.83771603310019
X1097	2	43225100	69329900	2044	-1.42261244073313
X1097	2	69337900	88804800	2212	-1.27685056940925
X1097	2	88805400	91883200	228	-1.34766749841729
X1097	2	91887600	108010800	1863	-1.1872968782295
X1097	2	108247194	108812690	161	-0.931409451246479
X1097	2	108813000	181573989	6989	-1.20997254889359
X1097	2	181678100	185291640	204	-1.18012058326226
X1097	2	185547200	189132852	373	-1.03986607145452
X1097	2	189179500	190371453	178	-0.576827715242985
X1097	2	190436100	233817974	5795	-0.981294299241138
X1097	2	233818300	235524600	124	-1.11012349557077
X1097	2	235670100	241253466	1170	-1.89174371678708
X1097	3	197700	36738600	3086	-1.90564789112899
X1097	3	36767600	46992700	1953	-1.19251995940944
X1097	3	46994000	52799500	2710	-1.04447433639598
X1097	3	52799800	68538700	1408	-1.21696658243148
X1097	3	68544400	122254416	3182	-0.768526709271994
X1097	3	122254500	157442702	4438	-0.385802569969489
X1097	3	157443100	158276049	41	-0.0411760734554738
X1097	3	158298200	170273000	711	0.0579930447042878
X1097	3	170273436	182448803	731	-0.107645664633758
X1097	3	182820400	186854700	1108	-0.319679279604579
X1097	3	187042700	195306448	614	-0.84170182425793
X1097	3	195307300	197960581	664	-0.598389010211025
X1097	4	53200	467700	91	-0.819932723529768
